group,color,action,charts,faces,vertices,mean_radius,radius_spread,circumference,wraps,shift_u,shift_v,overlap_before,overlap_after,intra_overlap,intra_wrongwind
107,#efd960,settled,1,27,21,1225.71,2.62956,7701.35,0,0,0,0,0,0,0
108,#b87b87,settled,1,239,140,1234.71,4.6269,7757.93,0,0,0,0,0,0,0
109,#80d1ae,settled,1,25,22,1253.52,5.6843,7876.12,0,0,0,0,0,0,0
110,#4973d5,settled,1,20,17,1261.5,2.64577,7926.22,0,0,0,0,0,0,0
111,#c5c848,settled,1,17,20,1257.47,2.50409,7900.92,0,0,0,0,0,0,0
112,#8e6a70,settled,1,22,19,1251.87,2.86707,7865.72,0,0,0,0,0,0,0
113,#56bf96,settled,1,67,50,1301.7,19.4503,8178.8,0,0,0,0,0,0,0
114,#d261bd,settled,1,10,11,1261.42,4.92084,7925.76,0,0,0,0,0,0,0
115,#9bb6e4,settled,1,188,111,1208.19,4.07647,7591.27,0,0,0,0,0,0,0
116,#645858,settled,1,114,71,1279.74,5.65173,8040.83,0,0,0,18,18,0,0
117,#e0ad7e,settled,1,34,25,1277.66,2.94497,8027.78,0,0,0,18,18,0,0
118,#a84fa5,settled,1,390,219,1275.14,9.33594,8011.94,0,0,0,0,0,0,0
119,#71a5cc,settled,1,47,34,1253.68,4.18742,7877.08,0,0,0,0,0,0,0
120,#ed4640,settled,1,71,49,1253.66,2.53881,7876.99,0,0,0,0,0,0,0
121,#b69c66,settled,1,16,15,1282.22,3.57073,8056.4,0,0,0,0,0,0,0
122,#7ef18d,settled,1,17,15,1225.45,1.85985,7699.75,0,0,0,0,0,0,0
123,#4793b4,settled,1,16,15,1812.51,1.04522,11388.4,0,0,0,0,0,0,0
124,#c3e8db,settled,1,19,18,1814.45,2.14869,11400.6,0,0,0,0,0,0,0
125,#8c8a4f,settled,2,125,100,1581.08,5.35101,9934.2,0,0,0,0,0,7,0
126,#54e075,settled,2,348,224,1559.66,6.63399,9799.64,0,0,0,0,0,286,0
127,#d0819c,settled,2,301,197,1581.48,4.14911,9936.71,0,0,0,0,0,28,0
128,#99d6c3,settled,1,65,48,1575.04,3.63958,9896.3,0,0,0,0,0,0,0
129,#6279ea,settled,1,226,133,1516.2,5.31624,9526.59,0,0,0,0,0,0,0
130,#ddcd5d,settled,1,14,13,1522.66,0.462489,9567.16,0,0,0,0,0,0,0
131,#a67085,settled,1,105,63,1521.84,3.86793,9561.98,0,0,0,103,103,0,0
132,#6fc5ab,settled,1,23,19,1516.2,2.13838,9526.55,0,0,0,0,0,0,0
133,#eb66d2,settled,6,768,534,1532.83,34.1161,9631.08,0,0,0,10316,10316,51,1
134,#b3bc46,settled,1,53,44,1581.41,7.48798,9936.3,0,0,0,0,0,0,0
135,#7c5e6d,settled,1,65,46,1466.66,9.82358,9215.31,0,0,0,0,0,0,0
136,#45b393,settled,1,63,48,1462.51,16.6575,9189.25,0,0,0,213,213,0,0
137,#c155ba,settled,1,53,37,1456.26,4.8974,9149.95,0,0,0,0,0,0,0
138,#89aae1,settled,1,12,14,1456.07,4.45174,9148.76,0,0,0,2,2,0,0
139,#524d55,settled,1,140,87,1471.74,3.8275,9247.22,0,0,0,211,211,0,0
140,#cea17b,settled,1,8,9,1439,1.83637,9041.52,0,0,0,0,0,0,0
141,#9743a3,settled,1,173,104,1505.48,3.16947,9459.2,0,0,0,0,0,0,0
142,#5f99c9,settled,1,26,21,1369.3,2.82234,8603.54,0,0,0,0,0,0,0
143,#dbeef0,settled,1,62,50,1370.2,3.0693,8609.22,0,0,0,0,0,0,0
144,#a49064,settled,1,19,17,1369,2.67944,8601.7,0,0,0,0,0,0,0
145,#6de58a,settled,1,29,26,1355.77,1.24559,8518.58,0,0,0,0,0,0,0
146,#e987b1,settled,1,23,21,1342.1,1.27677,8432.69,0,0,0,0,0,0,0
147,#b1dcd8,settled,1,21,20,1362.78,2.36887,8562.6,0,0,0,0,0,0,0
148,#7a7e4c,settled,1,19,20,1353.89,2.73419,8506.76,0,0,0,0,0,0,0
149,#43d472,settled,1,70,50,1428.59,2.51559,8976.08,0,0,0,0,0,0,0
150,#bf759a,settled,1,31,24,1429.04,1.3801,8978.92,0,0,0,0,0,0,0
151,#87cbc0,settled,4,124,120,1280.39,25.4828,8044.94,0,0,0,7905,7905,46,0
152,#506de7,settled,1,68,47,1332.06,3.76817,8369.57,0,0,0,220,220,0,0
153,#ccc15b,settled,1,136,95,1299.05,9.65002,8162.15,0,0,0,2264,2264,0,0
154,#956482,settled,1,10,13,1297.47,1.4481,8152.25,0,0,0,154,154,0,0
155,#5db9a8,settled,1,8,10,1295.04,1.31223,8137,0,0,0,0,0,0,0
156,#d95bcf,settled,1,45,36,1290.21,3.43286,8106.64,0,0,0,795,795,0,0
157,#a2b043,settled,1,27,24,1304.5,2.63638,8196.41,0,0,0,32,32,0,0
158,#6b526a,settled,4,255,179,1291.06,16.0378,8111.99,0,0,0,7532,7532,171,120
159,#e7a790,settled,1,32,26,1252.22,1.31322,7867.92,0,0,0,650,650,0,0
160,#af49b8,settled,1,8,9,1254.09,2.5916,7879.69,0,0,0,146,146,0,0
161,#789ede,settled,1,11,11,1271.2,1.41512,7987.16,0,0,0,230,230,0,0
162,#414152,settled,2,154,100,1321.03,5.14678,8300.3,0,0,0,1974,1974,0,0
163,#bd9579,settled,1,21,19,1229.79,2.66035,7726.98,0,0,0,0,0,0,0
164,#85eb9f,settled,1,130,81,1246.91,2.70011,7834.58,0,0,0,34,34,0,0
165,#4e8dc6,settled,1,306,174,1254.71,7.48196,7883.55,0,0,0,76,76,0,0
166,#cae2ed,settled,1,19,18,1246.66,1.71891,7833,0,0,0,22,22,0,0
167,#938461,settled,1,68,46,1208.2,10.3496,7591.37,0,0,0,0,0,0,0
168,#5bd987,settled,1,20,16,1221.69,2.21535,7676.09,0,0,0,0,0,0,0
169,#d77baf,settled,1,23,19,1220.85,2.23662,7670.8,0,0,0,0,0,0,0
170,#a0d0d5,settled,1,16,17,1258.49,3.42419,7907.31,0,0,0,351,351,0,0
171,#697249,settled,1,23,25,1182.07,9.67885,7427.16,0,0,0,3,3,0,0
172,#e4c770,settled,1,12,13,1178.98,2.25816,7407.74,0,0,0,3,3,0,0
173,#ad6997,settled,1,80,52,1150.02,6.67726,7225.81,0,0,0,0,0,0,0
174,#76bfbd,settled,1,75,55,1154.01,39.1375,7250.84,0,0,0,0,0,0,0
175,#f260e4,settled,3,164,141,1085.55,51.8674,6820.7,0,0,0,625,625,18,7
176,#bab658,settled,1,13,14,1120.16,7.97726,7038.16,0,0,0,0,0,0,0
177,#83587f,settled,1,69,47,1117.29,4.03389,7020.17,0,0,0,16,16,0,0
178,#4cada5,settled,1,46,34,1116.21,2.92489,7013.33,0,0,0,16,16,0,0
179,#c84fcd,settled,1,37,29,1164.22,3.01516,7315.01,0,0,0,0,0,0,0
180,#90a440,settled,1,28,21,1162.05,3.58242,7301.39,0,0,0,0,0,0,0
181,#594667,settled,1,252,147,1154.23,9.32994,7252.24,0,0,0,0,0,0,0
182,#d59b8e,settled,1,54,50,1202.83,69.6568,7557.63,0,0,0,101,101,0,0
183,#9ef0b4,settled,2,143,100,1220.28,19.7063,7667.23,0,0,0,272,272,0,0
184,#6693db,settled,1,58,42,1530.24,3.68239,9614.8,0,0,0,346,346,0,0
185,#e2e74f,settled,1,11,12,1527.37,1.5547,9596.75,0,0,0,94,94,0,0
186,#ab8976,settled,1,13,14,1519,2.6206,9544.14,0,0,0,58,58,0,0
187,#74df9c,settled,1,16,15,1517.72,2.39595,9536.09,0,0,0,55,55,0,0
188,#f080c4,settled,1,120,79,1515.86,5.64746,9524.41,0,0,0,573,573,0,0
189,#b8d6ea,settled,1,26,21,1505.39,2.22965,9458.67,0,0,0,0,0,0,0
190,#81785e,settled,1,14,15,1506.23,1.79237,9463.91,0,0,0,0,0,0,0
191,#4acd85,settled,2,90,74,1501.1,12.9914,9431.71,0,0,0,1286,1286,3,0
192,#c66fac,settled,1,9,10,1506.77,10.7845,9467.32,0,0,0,157,157,0,0
193,#8ec4d2,settled,1,29,22,1512.03,2.22742,9500.35,0,0,0,81,81,0,0
194,#576646,settled,1,32,32,1571.63,2.94494,9874.82,0,0,0,0,0,0,0
195,#d3bb6d,settled,1,12,13,1571.24,2.48713,9872.38,0,0,0,0,0,0,0
196,#9c5d94,settled,1,65,49,1575.38,3.39854,9898.41,0,0,0,0,0,0,0
197,#64b3ba,settled,1,349,202,1444,11.2111,9072.93,0,0,0,0,0,0,0
198,#e054e2,settled,1,16,14,1419.79,2.4746,8920.81,0,0,0,0,0,0,0
199,#a9aa55,settled,3,223,155,1416.44,14.0922,8899.73,0,0,0,0,0,0,0
200,#724c7c,settled,1,27,25,1437.48,3.89644,9031.93,0,0,0,0,0,0,0
201,#eea1a3,settled,2,147,100,1474.61,8.96202,9265.22,0,0,0,43,43,0,0
202,#b643ca,settled,1,64,49,1410.02,8.72521,8859.42,0,0,0,0,0,0,0
203,#7f98f0,settled,1,39,36,1491.09,2.29608,9368.8,0,0,0,0,0,0,0
204,#48ee64,settled,1,17,15,1489.08,0.882444,9356.15,0,0,0,84,84,0,0
205,#c48f8b,settled,1,70,56,1489.89,1.10564,9361.23,0,0,0,351,351,0,0
206,#8ce4b1,settled,1,72,50,1458.42,3.14952,9163.55,0,0,0,0,0,0,0
207,#5587d9,settled,1,16,16,1283.41,1.97619,8063.93,0,0,0,126,126,0,0
208,#d1db4c,settled,1,274,163,1318.81,6.84207,8286.31,0,0,0,2069,2069,0,0
209,#9a7e73,settled,2,113,81,1309.27,15.6206,8226.38,0,0,0,1443,1443,0,0
210,#62d39a,settled,1,28,23,1308.27,2.01557,8220.09,0,0,0,162,162,0,0
211,#de74c1,settled,1,11,11,1310.53,1.60863,8234.33,0,0,0,95,95,0,0
212,#a7cae7,settled,1,12,14,1418.96,2.47027,8915.61,0,0,0,0,0,0,0
213,#706c5b,settled,1,18,16,1398.16,2.75674,8784.92,0,0,0,0,0,0,0
214,#ebc182,settled,1,63,49,1450.18,3.27217,9111.77,0,0,0,0,0,0,0
215,#b463a9,settled,1,32,25,1290.52,5.19769,8108.56,0,0,0,0,0,0,0
216,#7db8cf,settled,1,152,92,1300.47,3.79955,8171.09,0,0,0,278,278,0,0
217,#465b43,settled,1,337,192,1294.11,8.86993,8131.12,0,0,0,827,827,0,0
218,#c1af6a,settled,2,76,62,1299.07,2.45663,8162.28,0,0,0,176,176,0,0
219,#8a5191,settled,1,43,36,1300.83,5.23213,8173.39,0,0,0,311,311,0,0
220,#53a7b8,settled,1,22,18,1269.08,2.84463,7973.84,0,0,0,296,296,0,0
221,#cf48df,settled,1,70,50,1270.83,4.90738,7984.86,0,0,0,1034,1034,0,0
222,#979e52,settled,1,16,17,1274.78,1.86874,8009.7,0,0,0,0,0,0,0
223,#604079,settled,1,77,50,1214.13,1.91207,7628.58,0,0,0,0,0,0,0
224,#dc95a0,settled,1,46,41,1239.4,2.31786,7787.35,0,0,0,1032,1032,0,0
225,#a5eac6,settled,1,53,39,1245.06,3.26787,7822.97,0,0,0,67,67,0,0
226,#6d8cee,settled,1,12,13,1073.14,3.37305,6742.76,0,0,0,0,0,0,0
227,#e9e161,settled,1,11,11,1029.98,1.33729,6471.56,0,0,0,0,0,0,0
228,#b28388,settled,1,17,15,1051.36,1.17958,6605.92,0,0,0,95,95,0,0
229,#7bd9af,settled,1,28,30,1050.73,11.2554,6601.94,0,0,0,159,159,0,0
230,#437bd6,settled,1,63,47,1052.68,5.31577,6614.2,0,0,0,81,81,0,0
231,#bfcf49,settled,1,20,18,1044.88,2.80726,6565.17,0,0,0,0,0,0,0
232,#887270,settled,1,23,19,1054.27,3.71275,6624.17,0,0,0,0,0,0,0
233,#51c797,settled,1,46,39,1025.5,5.0782,6443.41,0,0,0,0,0,0,0
234,#cd69be,settled,1,109,66,1106.75,1.42333,6953.88,0,0,0,115,115,0,0
235,#95bee4,settled,1,27,22,1097.51,2.97098,6895.86,0,0,0,0,0,0,0
236,#5e6058,settled,1,13,13,1099.59,2.44886,6908.9,0,0,0,0,0,0,0
237,#dab57f,settled,1,77,50,1079.68,7.766,6783.8,0,0,0,0,0,0,0
238,#a357a6,settled,1,70,49,1070.41,11.3348,6725.59,0,0,0,0,0,0,0
239,#6baccd,settled,1,12,14,1023.9,27.0073,6433.36,0,0,0,81,81,0,0
240,#e74e41,settled,1,66,47,1012.96,3.06168,6364.62,0,0,0,81,81,0,0
241,#b0a367,settled,1,70,50,1000.87,5.72868,6288.66,0,0,0,0,0,0,0
242,#79468e,settled,1,217,127,1007.02,6.17269,6327.32,0,0,0,285,285,0,0
243,#419bb5,settled,1,75,50,1047.2,14.4668,6579.73,0,0,0,0,0,0,0
244,#bdf0db,settled,1,68,50,1048.93,16.9285,6590.6,0,0,0,0,0,0,0
245,#86924f,settled,1,30,25,946.902,8.20923,5949.56,0,0,0,33,33,0,0
246,#4fe776,settled,1,248,147,925.334,7.54652,5814.05,0,0,0,572,572,0,0
247,#cb899d,settled,5409,1187545,696275,862.652,1159.68,5420.2,0,0,0,306612,306612,4507360,4259501
248,#93dec4,settled,1,81,52,977.981,3.28867,6144.84,0,0,0,174,174,0,0
249,#5c80eb,settled,1,153,92,1531.14,4.08625,9620.41,0,0,0,505,505,0,0
250,#d8d55e,settled,1,37,28,1525.15,4.738,9582.81,0,0,0,166,166,0,0
251,#a17785,settled,1,21,19,1519.8,2.17459,9549.18,0,0,0,65,65,0,0
252,#69cdac,settled,1,27,25,1515.72,1.95597,9523.55,0,0,0,91,91,0,0
253,#e56ed3,settled,1,62,42,1513.36,3.75566,9508.73,0,0,0,175,175,0,0
254,#aec446,settled,1,320,182,1530.49,9.42573,9616.33,0,0,0,491,491,0,0
255,#77666d,settled,1,67,49,1524.93,6.78493,9581.41,0,0,0,392,392,0,0
256,#3fbb94,settled,1,13,15,1466.35,6.38174,9213.34,0,0,0,8,8,0,0
257,#bb5dbb,settled,1,52,39,1466.3,2.50925,9213,0,0,0,0,0,0,0
258,#84b2e2,settled,1,21,19,1465.3,4.5785,9206.77,0,0,0,0,0,0,0
259,#4d5456,settled,1,66,49,1474.87,7.37467,9266.9,0,0,0,37,37,0,0
260,#c8a97c,settled,1,62,49,1477.94,16.7007,9286.19,0,0,0,24,24,0,0
261,#914ba3,settled,1,64,46,1466.99,4.51234,9217.39,0,0,0,0,0,0,0
262,#5aa1ca,settled,1,43,32,1466.19,2.96499,9212.34,0,0,0,24,24,0,0
263,#d642f1,settled,1,17,18,1445.93,3.2853,9085.03,0,0,0,0,0,0,0
264,#9e9764,settled,1,28,21,1474.56,3.82873,9264.95,0,0,0,37,37,0,0
265,#67ed8b,settled,2,134,99,1452.98,10.3014,9129.34,0,0,0,0,0,0,0
266,#e38eb2,settled,1,74,50,1454.55,3.91018,9139.24,0,0,0,0,0,0,0
267,#ace4d9,settled,1,57,44,1501.5,2.02957,9434.22,0,0,0,290,290,0,0
268,#74864d,settled,1,7,9,1384.19,5.75193,8697.09,0,0,0,0,0,0,0
269,#f0db73,settled,1,67,50,1398.78,2.98122,8788.77,0,0,0,0,0,0,0
270,#b97d9a,settled,1,41,31,1329.83,1.22328,8355.54,0,0,0,308,308,0,0
271,#82d2c1,settled,1,92,61,1299.2,3.02101,8163.09,0,0,0,781,781,0,0
272,#4a74e8,settled,1,16,14,1298.84,1.93482,8160.88,0,0,0,156,156,0,0
273,#c6c95b,settled,1,18,17,1294.57,1.08008,8134.05,0,0,0,102,102,0,0
274,#8f6b82,settled,1,17,15,1286.91,2.48143,8085.9,0,0,0,17,17,0,0
275,#58c1a9,settled,1,77,50,1278.77,4.83768,8034.76,0,0,0,641,641,0,0
276,#d462d0,settled,1,29,22,1281.88,2.54548,8054.26,0,0,0,124,124,0,0
277,#9cb843,settled,1,51,38,1286,3.45381,8080.2,0,0,0,64,64,0,0
278,#655a6b,settled,1,120,78,1249.23,3.19306,7849.12,0,0,0,1033,1033,0,0
279,#e1af91,settled,1,269,157,1236.1,6.71813,7766.64,0,0,0,2425,2425,0,0
280,#aa51b8,settled,1,57,41,1216.29,2.453,7642.16,0,0,0,695,695,0,0
281,#72a6df,settled,1,47,39,1208.34,5.98973,7592.2,0,0,0,0,0,0,0
282,#ee4853,settled,1,16,16,1244.4,0.985753,7818.8,0,0,0,169,169,0,0
283,#b79d79,settled,1,26,19,1129.02,3.24436,7093.82,0,0,0,0,0,0,0
284,#803fa1,settled,1,31,23,1143.76,2.74434,7186.46,0,0,0,250,250,0,0
285,#4895c7,settled,1,25,24,1144.48,4.37548,7190.99,0,0,0,233,233,0,0
286,#c4e9ee,settled,1,41,35,1127.29,1.61213,7082.97,0,0,0,0,0,0,0
287,#8d8c62,settled,1,16,15,1127.75,1.76557,7085.84,0,0,0,0,0,0,0
288,#56e188,settled,1,67,50,1103.55,5.74082,6933.81,0,0,0,0,0,0,0
289,#d282af,settled,1,14,13,1041.97,1.09448,6546.91,0,0,0,0,0,0,0
290,#9ad8d6,settled,1,78,50,1022.26,6.17871,6423.05,0,0,0,0,0,0,0
291,#637a4a,settled,1,191,114,941.915,3.76689,5918.23,0,0,0,0,0,0,0
292,#dfcf70,settled,1,62,43,934.719,9.84192,5873.01,0,0,0,0,0,0,0
293,#a87197,settled,1,33,27,958.835,3.16623,6024.54,0,0,0,6,6,0,0
294,#70c6be,settled,1,30,24,956.2,5.68738,6007.98,0,0,0,6,6,0,0
295,#ec68e5,settled,1,21,18,953.886,5.73047,5993.44,0,0,0,0,0,0,0
296,#b5bd58,settled,1,49,36,930.35,2.86445,5845.56,0,0,0,0,0,0,0
297,#7e5f80,settled,1,41,31,928.978,3.22955,5836.94,0,0,0,0,0,0,0
